"","season","points_home","points_away","home_win"
"17197",2018,110,114,"Lost"
"17198",2018,105,106,"Lost"
"17199",2018,92,105,"Lost"
"17200",2018,109,123,"Lost"
"17201",2018,104,109,"Lost"
"17202",2018,118,109,"Won"
"17203",2018,100,94,"Won"
"17204",2018,99,105,"Lost"
"17205",2018,120,102,"Won"
"17206",2018,117,119,"Lost"
"17207",2018,118,112,"Won"
"17208",2018,99,110,"Lost"
"17209",2018,125,103,"Won"
"17210",2018,114,111,"Won"
"17211",2018,108,100,"Won"
"17212",2018,116,94,"Won"
"17213",2018,96,100,"Lost"
"17214",2018,92,90,"Won"
"17215",2018,113,118,"Lost"
"17216",2018,112,101,"Won"
"17217",2018,119,108,"Won"
"17218",2018,116,91,"Won"
"17219",2018,104,99,"Won"
"17220",2018,125,89,"Won"
"17221",2018,124,98,"Won"
"17222",2018,101,113,"Lost"
"17223",2018,112,108,"Won"
"17224",2018,96,101,"Lost"
"17225",2018,112,116,"Lost"
"17226",2018,126,121,"Won"
"17227",2018,116,123,"Lost"
"17228",2018,140,137,"Won"
"17229",2018,116,95,"Won"
"17230",2018,90,97,"Lost"
"17231",2018,123,102,"Won"
"17232",2018,115,109,"Won"
"17233",2018,89,94,"Lost"
"17234",2018,121,113,"Won"
"17235",2018,90,112,"Lost"
"17236",2018,104,100,"Won"
"17237",2018,108,95,"Won"
"17238",2018,90,86,"Won"
"17239",2018,110,129,"Lost"
"17240",2018,120,103,"Won"
"17241",2018,100,93,"Won"
"17242",2018,121,129,"Lost"
"17243",2018,115,96,"Won"
"17244",2018,122,100,"Won"
"17245",2018,108,90,"Won"
"17246",2018,118,115,"Won"
"17247",2018,104,127,"Lost"
"17248",2018,107,91,"Won"
"17249",2018,106,110,"Lost"
"17250",2018,105,113,"Lost"
"17251",2018,85,107,"Lost"
"17252",2018,98,111,"Lost"
"17253",2018,108,112,"Lost"
"17254",2018,103,117,"Lost"
"17255",2018,103,119,"Lost"
"17256",2018,101,104,"Lost"
"17257",2018,93,98,"Lost"
"17258",2018,96,104,"Lost"
"17259",2018,120,108,"Won"
"17260",2018,115,131,"Lost"
"17261",2018,118,108,"Won"
"17262",2018,105,132,"Lost"
"17263",2018,99,91,"Won"
"17264",2018,120,99,"Won"
"17265",2018,118,98,"Won"
"17266",2018,111,82,"Won"
"17267",2018,114,105,"Won"
"17268",2018,114,94,"Won"
"17269",2018,145,123,"Won"
"17270",2018,131,135,"Lost"
"17271",2018,84,74,"Won"
"17272",2018,104,99,"Won"
"17273",2018,121,86,"Won"
"17274",2018,122,90,"Won"
"17275",2018,102,111,"Lost"
"17276",2018,101,104,"Lost"
"17277",2018,121,104,"Won"
"17278",2018,96,101,"Lost"
"17279",2018,134,135,"Lost"
"17280",2018,113,94,"Won"
"17281",2018,114,122,"Lost"
"17282",2018,89,115,"Lost"
"17283",2018,125,109,"Won"
"17284",2018,132,117,"Won"
"17285",2018,116,127,"Lost"
"17286",2018,105,94,"Won"
"17287",2018,99,95,"Won"
"17288",2018,143,137,"Won"
"17289",2018,136,131,"Won"
"17290",2018,97,124,"Lost"
"17291",2018,100,93,"Won"
"17292",2018,110,116,"Lost"
"17293",2018,122,99,"Won"
"17294",2018,86,96,"Lost"
"17295",2018,100,120,"Lost"
"17296",2018,103,112,"Lost"
"17297",2018,120,109,"Won"
"17298",2018,118,108,"Won"
"17299",2018,112,111,"Won"
"17300",2018,101,104,"Lost"
"17301",2018,117,109,"Won"
"17302",2018,90,112,"Lost"
"17303",2018,126,132,"Lost"
"17304",2018,91,104,"Lost"
"17305",2018,96,108,"Lost"
"17306",2018,127,129,"Lost"
"17307",2018,149,113,"Won"
"17308",2018,115,107,"Won"
"17309",2018,108,116,"Lost"
"17310",2018,113,110,"Won"
"17311",2018,131,104,"Won"
"17312",2018,115,108,"Won"
"17313",2018,129,133,"Lost"
"17314",2018,113,109,"Won"
"17315",2018,128,133,"Lost"
"17316",2018,96,116,"Lost"
"17317",2018,113,111,"Won"
"17318",2018,149,113,"Won"
"17319",2018,112,129,"Lost"
"17320",2018,97,117,"Lost"
"17321",2018,120,96,"Won"
"17322",2018,111,109,"Won"
"17323",2018,123,110,"Won"
"17324",2018,112,122,"Lost"
"17325",2018,119,98,"Won"
"17326",2018,133,126,"Won"
"17327",2018,119,110,"Won"
"17328",2018,120,114,"Won"
"17329",2018,117,122,"Lost"
"17330",2018,122,128,"Lost"
"17331",2018,117,104,"Won"
"17332",2018,90,108,"Lost"
"17333",2018,89,108,"Lost"
"17334",2018,114,100,"Won"
"17335",2018,114,115,"Lost"
"17336",2018,130,122,"Won"
"17337",2018,105,115,"Lost"
"17338",2018,102,112,"Lost"
"17339",2018,109,115,"Lost"
"17340",2018,108,110,"Lost"
"17341",2018,113,85,"Won"
"17342",2018,97,118,"Lost"
"17343",2018,116,89,"Won"
"17344",2018,103,135,"Lost"
"17345",2018,119,103,"Won"
"17346",2018,117,111,"Won"
"17347",2018,105,130,"Lost"
"17348",2018,116,102,"Won"
"17349",2018,111,102,"Won"
"17350",2018,110,105,"Won"
"17351",2018,121,131,"Lost"
"17352",2018,113,105,"Won"
"17353",2018,121,109,"Won"
"17354",2018,122,132,"Lost"
"17355",2018,122,102,"Won"
"17356",2018,111,102,"Won"
"17357",2018,122,113,"Won"
"17358",2018,136,135,"Won"
"17359",2018,103,106,"Lost"
"17360",2018,102,130,"Lost"
"17361",2018,106,113,"Lost"
"17362",2018,90,95,"Lost"
"17363",2018,137,90,"Won"
"17364",2018,113,96,"Won"
"17365",2018,132,108,"Won"
"17366",2018,110,96,"Won"
"17367",2018,119,108,"Won"
"17368",2018,99,90,"Won"
"17369",2018,116,121,"Lost"
"17370",2018,92,100,"Lost"
"17371",2018,101,124,"Lost"
"17372",2018,109,118,"Lost"
"17373",2018,115,120,"Lost"
"17374",2018,114,112,"Won"
"17375",2018,98,118,"Lost"
"17376",2018,131,130,"Won"
"17377",2018,105,115,"Lost"
"17378",2018,128,124,"Won"
"17379",2018,129,115,"Won"
"17380",2018,115,98,"Won"
"17381",2018,123,110,"Won"
"17382",2018,105,99,"Won"
"17383",2018,92,117,"Lost"
"17384",2018,112,85,"Won"
"17385",2018,128,118,"Won"
"17386",2018,121,118,"Won"
