"","season","points_home","points_away","home_win"
"1",2020,106,109,"Lost"
"2",2020,112,114,"Lost"
"3",2020,108,113,"Lost"
"4",2020,112,96,"Won"
"5",2020,113,106,"Won"
"6",2020,116,105,"Won"
"7",2020,86,100,"Lost"
"8",2020,100,101,"Lost"
"9",2020,111,94,"Won"
"10",2020,92,132,"Lost"
"11",2020,94,99,"Lost"
"12",2020,129,105,"Won"
"13",2020,111,103,"Won"
"14",2020,120,113,"Won"
"15",2020,125,98,"Won"
"16",2020,110,116,"Lost"
"17",2020,96,107,"Lost"
"18",2020,110,137,"Lost"
"19",2020,121,113,"Won"
"20",2020,112,115,"Lost"
"21",2020,100,113,"Lost"
"22",2020,103,116,"Lost"
"23",2020,131,127,"Won"
"24",2020,113,101,"Won"
"25",2020,125,119,"Won"
"26",2020,131,122,"Won"
"27",2020,116,93,"Won"
"28",2020,94,93,"Won"
"29",2020,119,123,"Lost"
"30",2020,101,93,"Won"
"31",2020,116,105,"Won"
"32",2020,116,112,"Won"
"33",2020,115,124,"Lost"
"34",2020,105,109,"Lost"
"35",2020,119,121,"Lost"
"36",2020,117,110,"Won"
"37",2020,99,106,"Lost"
"38",2020,94,108,"Lost"
"39",2020,89,85,"Won"
"40",2020,129,104,"Won"
"41",2020,105,89,"Won"
"42",2020,109,117,"Lost"
"43",2020,113,98,"Won"
"44",2020,99,96,"Won"
"45",2020,123,102,"Won"
"46",2020,107,119,"Lost"
"47",2020,125,124,"Won"
"48",2020,137,121,"Won"
"49",2020,122,116,"Won"
"50",2020,122,133,"Lost"
"51",2020,99,109,"Lost"
"52",2020,117,112,"Won"
"53",2020,99,109,"Lost"
"54",2020,121,106,"Won"
"55",2020,122,99,"Won"
"56",2020,97,128,"Lost"
"57",2020,128,122,"Won"
"58",2020,131,119,"Won"
"59",2020,134,99,"Won"
"60",2020,97,102,"Lost"
"61",2020,100,82,"Won"
"62",2020,107,134,"Lost"
"63",2020,114,112,"Won"
"64",2020,118,95,"Won"
"65",2020,135,115,"Won"
"66",2020,97,119,"Lost"
"67",2020,100,95,"Won"
"68",2020,114,104,"Won"
"69",2020,119,125,"Lost"
"70",2020,121,106,"Won"
"71",2020,121,125,"Lost"
"72",2020,111,122,"Lost"
"73",2020,103,116,"Lost"
"74",2020,93,108,"Lost"
"75",2020,96,93,"Won"
"76",2020,93,83,"Won"
"77",2020,96,114,"Lost"
"78",2020,126,96,"Won"
"79",2020,109,130,"Lost"
"80",2020,103,109,"Lost"
"81",2020,103,106,"Lost"
"82",2020,106,100,"Won"
"83",2020,98,123,"Lost"
"84",2020,119,99,"Won"
"85",2020,130,133,"Lost"
"86",2020,92,116,"Lost"
"87",2020,122,119,"Won"
"88",2020,100,83,"Won"
"89",2020,80,113,"Lost"
"90",2020,95,106,"Lost"
"91",2020,126,107,"Won"
"92",2020,145,141,"Won"
"93",2020,119,108,"Won"
"94",2020,99,118,"Lost"
"95",2020,107,121,"Lost"
"96",2020,128,105,"Won"
"97",2020,86,95,"Lost"
"98",2020,106,116,"Lost"
"99",2020,111,116,"Lost"
"100",2020,100,93,"Won"
"101",2020,107,115,"Lost"
"102",2020,97,144,"Lost"
"103",2020,107,118,"Lost"
"104",2020,111,86,"Won"
"105",2020,124,101,"Won"
"106",2020,125,115,"Won"
"107",2020,128,120,"Won"
"108",2020,111,116,"Lost"
"109",2020,109,110,"Lost"
"110",2020,124,111,"Won"
"111",2020,107,115,"Lost"
"112",2020,73,124,"Lost"
"113",2020,106,104,"Won"
"114",2020,113,120,"Lost"
"115",2020,98,95,"Won"
"116",2020,118,94,"Won"
"117",2020,130,110,"Won"
"118",2020,108,107,"Won"
"119",2020,128,129,"Lost"
"120",2020,100,116,"Lost"
"121",2020,127,91,"Won"
"122",2020,112,122,"Lost"
"123",2020,107,109,"Lost"
"124",2020,119,128,"Lost"
"125",2020,120,130,"Lost"
"126",2020,89,109,"Lost"
"127",2020,106,125,"Lost"
"128",2020,119,114,"Won"
"129",2020,111,116,"Lost"
"130",2020,128,126,"Won"
"131",2020,106,103,"Won"
"132",2020,111,98,"Won"
"133",2020,138,99,"Won"
"134",2020,95,123,"Lost"
"135",2020,138,115,"Won"
"136",2020,108,121,"Lost"
"137",2020,121,114,"Won"
"138",2020,121,107,"Won"
"139",2020,113,107,"Won"
"140",2020,113,107,"Won"
"141",2020,122,121,"Won"
"142",2020,99,113,"Lost"
"143",2020,104,124,"Lost"
"144",2020,119,131,"Lost"
"145",2020,111,101,"Won"
"146",2020,122,124,"Lost"
"147",2020,100,120,"Lost"
"148",2020,106,102,"Won"
"149",2020,125,99,"Won"
"150",2020,109,116,"Lost"
"151",2020,101,127,"Lost"
"152",2020,102,103,"Lost"
"153",2020,116,82,"Won"
"154",2020,90,101,"Lost"
"155",2020,104,77,"Won"
"156",2020,114,99,"Won"
"157",2020,105,100,"Won"
"158",2020,105,102,"Won"
"159",2020,121,109,"Won"
